BPOS,V1,A1,V2,A2,V3,A3,V4,A4,V5,A5,V6,A6,V7,A7,V8,A8,V9,A9,V10,A10,V11,A11,V12,A12,V13,A13,V14,A14,APP_AMPS,CLMBS,FRNT,ROOF,RH_WNG,LH_WNG,REAR
86,0,0,0,0,1,0,9,0,265,103,267,142,273,49,0,0,1,0,0,0,0,0,1,0,290,49,1,0,343,40930,74.55797349,63.64758506,66.3739922,66.22754098,72.19290827
87,0,0,0,0,1,0,6,0,266,94,265,145,265,51,0,0,1,0,0,0,0,0,0,0,290,47,1,0,337,41604,73.05157206,61.99923774,64.68242207,64.63696321,72.62980492
88,0,0,0,0,1,0,4,0,266,83,265,146,265,58,0,0,1,0,0,0,0,0,0,0,290,45,124,0,332,42268,72.64536354,60.90661451,63.70571791,63.77494008,70.96736396
89,0,0,0,0,1,0,3,0,265,73,265,144,263,30,0,0,1,0,0,0,0,0,0,0,290,43,290,39,329,42926,72.37852582,60.08282951,62.96248686,63.12321643,70.45294138
90,0,0,0,0,1,0,3,0,266,62,265,143,265,41,0,0,1,0,0,0,0,0,1,0,290,40,290,38,324,43574,71.49977469,58.95881276,61.89970602,62.09224591,69.54946062
91,0,0,0,0,1,0,2,0,266,52,265,141,265,49,0,0,1,0,0,0,0,0,1,0,290,38,290,39,319,44212,69.43735714,58.05165219,61.11430016,61.34003744,69.05665307
92,0,0,0,0,1,0,2,0,265,43,265,137,265,56,0,0,1,0,0,0,0,0,0,0,290,36,290,41,313,44838,67.63682976,56.77497898,60.09816617,60.40767032,68.08235477
93,0,0,0,0,1,0,2,0,208,0,264,145,265,64,0,0,1,0,0,0,0,0,0,0,290,47,290,43,299,45436,65.14988757,53.95304146,57.28436141,57.62919142,64.98351815
94,0,0,0,0,1,0,1,0,113,0,265,138,265,73,0,0,1,0,0,0,0,0,0,0,290,43,290,44,298,46032,64.7196129,53.92693432,57.11823389,57.42910808,64.80611082
95,0,0,0,0,1,0,1,0,68,0,265,129,265,81,0,0,1,0,0,0,0,0,1,0,290,39,290,46,295,46622,64.09303241,53.38518319,56.4526615,56.77105871,64.29806419
96,0,0,0,0,1,0,1,0,39,0,265,122,265,88,0,0,1,0,0,0,0,0,1,0,290,36,290,47,293,47208,63.74389489,53.1575986,55.95823048,56.30751848,63.83275755
97,0,0,0,0,1,0,1,0,23,0,265,119,265,89,0,0,1,0,0,0,0,0,0,0,290,36,290,47,291,47790,63.29130124,52.79373084,54.95624222,55.41857933,64.54014637
98,0,0,0,0,1,0,1,0,14,0,265,111,265,95,202,0,1,0,0,0,0,0,0,0,290,34,290,48,288,48366,62.93212793,52.5429044,53.94576817,54.37425515,64.20494435
