V1,A1,V2,A2,V3,A3,V4,A4,V5,A5,V6,A6,V7,A7,V8,A8,V9,A9,V10,A10,V11,A11,V12,A12,V13,A13,V14,A14,Front_V,Roof_V,RHWing_V,LHWing_V,Rear_V
0,0,0,0,0,0,0,0,0,0,0,0,265,65,265,119,265,31,0,0,0,0,0,0,0,0,290,62,210.8524788,175.849171,178.6939847,181.5116747,207.1515397
0,0,0,0,0,0,0,0,0,0,0,0,265,56,265,121,265,37,0,0,0,0,0,0,0,0,290,61,211.6082225,175.6975334,178.6435204,181.6123188,207.708671
0,0,0,0,0,0,0,0,0,0,0,0,265,49,265,121,265,41,0,0,0,0,0,0,0,0,290,61,212.3135832,175.5458957,178.391199,181.4613527,207.9619125
0,0,0,0,0,0,0,0,0,0,0,0,265,42,265,122,265,48,0,0,0,0,0,0,0,0,290,60,212.7166465,175.4448039,177.3819136,180.2536232,207.708671
0,0,0,0,0,0,0,0,0,0,0,0,265,36,265,120,265,54,0,0,0,0,0,0,0,0,290,60,212.6158807,175.4448039,175.9184497,178.7942834,207.1515397
0,0,0,0,0,0,0,0,0,0,0,0,265,29,265,118,265,61,0,0,0,0,0,0,0,0,290,59,212.3639661,175.6469875,174.656843,177.0833333,206.189222
0,0,0,0,0,0,0,0,0,0,0,0,265,23,265,116,265,69,32,0,0,0,0,0,0,0,290,58,211.91052,176.2029923,174.0008074,176.02657,204.9736629
0,0,0,0,0,0,0,0,0,0,0,0,175,19,265,112,265,76,122,0,0,0,0,0,0,0,290,58,209.7440548,176.5568136,173.6980218,175.4730274,203.1503241
0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,112,265,81,238,5,0,0,0,0,0,0,290,63,208.0814188,178.1742822,174.8587,176.5801127,208.5696921
0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,103,265,72,265,30,0,0,0,0,0,0,290,61,207.9302701,179.8422968,177.1800565,178.7942834,209.4813614
0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,97,265,78,265,34,0,0,0,0,0,0,290,60,207.5775897,181.5103114,179.9051272,181.763285,209.3800648
0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,89,265,82,265,38,0,0,0,0,0,0,290,59,207.2249093,183.12778,182.9834477,184.9838969,209.0255267
0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,81,265,85,265,43,0,0,0,0,0,0,290,56,207.0737606,184.2903356,185.2543399,187.8019324,208.9242301
0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,73,265,89,265,50,0,0,0,0,0,0,290,55,207.980653,185.4528912,186.8691966,190.0161031,208.5696921
0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,66,265,92,265,55,0,0,0,0,0,0,290,53,209.2906086,186.2110797,187.7775535,191.1231884,208.1138574
0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,60,265,93,265,62,0,0,0,0,0,0,290,52,211.1043934,187.0703599,188.4840533,191.9786634,207.6073744
0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,53,265,92,265,69,0,0,0,0,0,0,290,50,213.2204756,187.7274565,189.0391603,192.7334944,206.5944084
0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,45,265,91,265,77,5,0,0,0,0,0,290,48,215.1350262,188.2329155,189.5942673,193.3373591,205.6320908
0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,39,265,91,265,84,121,0,0,0,0,0,290,45,216.9991939,188.7383744,190.09891,193.8405797,204.2645867
0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,32,265,89,265,89,238.5,5,0,0,0,0,290,44,218.9641274,189.7998383,190.5026241,194.2431562,208.6203404
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,265,88,265,79,265,29,0,0,0,0,290,42,212.2128174,188.2834614,188.9382317,192.7838164,211.60859
