,Front_A,Roof_A,RHWing_A,LHWing_A,Rear_A,Front_As,Roof_As,RHWing_As,LHWing_As,Rear_As,Eff_Amps,App_Volts,Front_V,Roof_V,RHWing_V,LHWing_V,Rear_V
212,61.62909589444196,52.76988772509878,54.92154559866814,55.254340832425626,52.28559804118154,9951.843066568554,10171.25249874363,10074.856579267996,9861.464720634793,17408.526604593844,276.860468091816,866.9070978,192.27888381816982,164.63871429123466,171.35175085755245,172.39005095198345,163.12776108777123
214,62.175828911504574,53.41170015849653,55.65065055737675,55.99633185209661,51.664335163920576,10076.194724391562,10278.075899060623,10186.15788038275,9973.457384338986,17511.855274921687,278.898846643395,886.0126426999999,196.8159967308861,169.07337124122532,176.1607114842291,177.25495678441396,163.54213202687376
216,62.7204196670858,54.05833012972794,56.38455197425169,56.74317026201862,51.03137157162015,10201.635563725733,10386.19255932008,10298.926984331254,10086.943724863024,17613.918018064927,280.9378436047042,899.9764579,200.21044499839377,172.56010703676122,179.98566179435304,181.130410623514,162.89772398627778
218,62.717369680182905,54.217316936332296,56.546681639002145,56.91469249197837,50.56103823431456,10327.070303086099,10494.627193192744,10412.020347609257,10200.773109846981,17715.040094533557,280.95709898181025,912.6319932,203.00208189891728,175.48931451005308,183.02894645819015,184.2201151838004,163.65475907035326
220,63.25050280296221,54.86983760462128,57.283730514391166,57.66429120533108,49.92833971205814,10453.571308692022,10604.366868401987,10526.58780863804,10316.101692257644,17814.896773957673,282.9967018393639,922.5148571,205.45847249938095,178.23531072399015,186.07643020984472,187.31261671886585,162.18369747393098
222,62.675741858399626,54.53587862071718,56.86113273936755,57.24603836067244,49.67631832629004,10578.92279240882,10713.43862564342,10640.310074116775,10430.593768978988,17914.249410610253,280.99510990544684,930.1279602,206.72862003997813,179.88023110120847,187.54981044622653,188.81937671825824,163.85153859785265
224,62.36220701058097,54.4467693536603,56.72223186777924,57.11252375022709,49.3596301395822,10703.647206429983,10822.33216435074,10753.754537852334,10544.818816479443,18012.96867088942,280.0033621218298,939.5679524999999,208.51540960890463,182.04920829267277,189.65748614115748,190.96247317796704,165.03975709122574
226,62.86475170552141,55.10055221644849,57.45130206939825,57.852630893921116,48.77337937196406,10829.376709841026,10932.533268783638,10868.65714199113,10660.524078267284,18110.515429633346,282.0426162572533,947.9020318999999,210.53234549808067,184.53025235363336,192.40284974396576,193.74688907364575,163.3407223995355
228,61.97067401090158,54.51346186412995,56.72040054696522,57.1211810652143,48.703560431303366,10953.318057862829,11041.560192511897,10982.09794308506,10774.766440397712,18207.922550495954,279.0292779185144,951.1320477,210.4861838285695,185.1574270927965,192.65339367227776,194.01466274326197,165.42383534905207
230,61.34184350385252,54.17202110953791,56.27544560779512,56.67692284982043,48.55974320917718,11076.001744870535,11149.904234730973,11094.648834300651,10888.120286097354,18305.042036914307,277.02597628018316,954.0588488999999,210.4973405208428,185.8937671718413,193.11176450577736,194.48945201725004,166.6349789644794
232,60.70093027243076,53.828296808850666,55.82516824651036,56.226418509074335,48.441430343975945,11197.403605415397,11257.560828348674,11206.299170793673,11000.573123115502,18401.924897602257,275.02224418084205,955.2702661000001,210.0765247596198,186.29140404572337,193.2022670280955,194.59093208380403,167.6482929565512
234,59.77470081090048,53.23458136828003,55.08094409133989,55.47882019116338,48.438770306758975,11316.953007037198,11364.029991085234,11316.461058976352,11111.530763497829,18498.802438215775,272.00781676844275,955.6739431,209.24354730116715,186.34961770582774,192.81287859273516,194.20565857128818,169.56170400512298
236,59.658325086438374,53.38155489443963,55.197629554716926,55.59802353195019,48.188228617947196,11436.269657210076,11470.793100874112,11426.856318085785,11222.72681056173,18595.17889545167,272.02376168549233,953.5056582,208.3501823338795,186.4292482131849,192.7716905471338,194.17002276717298,168.29212359463781
238,58.98177775399542,53.03157691849949,54.731904499597995,55.129434430936044,48.144103773118296,11554.233212718067,11576.856254711112,11536.320127084982,11332.985679423602,18691.467102997907,270.01879737614723,949.9249574,206.73201734630496,185.87647400428662,191.83614772684146,193.2294961098594,168.74580718571823
240,58.02195258983509,52.43169300602805,53.97359686149004,54.36506920202558,48.21092779385773,11670.277117897736,11681.719640723168,11644.267320807963,11441.715817827653,18787.888958585623,267.00323945323646,945.9403519,204.79344340287568,185.06214415176538,190.50442566525498,191.88616076786343,170.16459239741678
242,57.59661999420023,52.324592495349215,53.78552596618536,54.17477346679344,48.12611300399097,11785.470357886137,11786.368825713866,11751.838372740334,11550.06536476124,18884.141184593605,266.0076249265192,943.1145526,203.44067144918182,184.8190090257132,189.97926471917953,191.35415048316352,169.98929355154908
244,57.15980971635363,52.21599610041323,53.592705965934165,53.97898272023372,48.06415705693697,11899.789977318844,11890.800817914693,11859.023784672203,11658.023330201708,18980.26949870748,265.0116515598717,938.6222417,201.68841634004085,184.2441675955585,189.10188902455738,190.46486673967314,169.59440151458608
246,55.89874203125519,51.36286150750366,52.5354570057859,52.91075413931232,48.277180636695924,12011.587461381354,11993.5265409297,11964.094698683775,11763.844838480332,19076.823859980872,260.98499532055297,946.2642058,201.90079461880967,185.51763734615835,189.75293771726956,191.10847429508337,174.37245952788479
248,57.077159437656896,52.73971535837176,54.05936923585317,54.44536857840515,47.727920967038095,12125.741780256667,12099.005971646444,12072.213437155482,11872.735575637143,19172.279701914948,266.04953357732506,953.2282682,203.735842994008,188.25341824409122,192.9638978446511,194.34171521020968,170.36391278707399
250,57.71729751496148,53.63070676304946,55.02220328796645,55.41451609853014,47.31049740847177,12241.17637528659,12206.267385172543,12182.257843731415,11983.564607834203,19266.900696731893,269.09522107297926,960.1363780999999,205.1738522791627,190.6468109352598,195.5933124996527,196.9879088183898,168.17968658396177
252,57.2319312342235,53.521402948769605,54.81404740712971,55.200809138161475,47.33014589763339,12355.640237755037,12313.310191070083,12291.885938545674,12093.966226110526,19361.56098852716,268.0983366259177,967.3455606,205.73540252295413,192.3969214701922,197.0436758645425,198.43399379892514,170.14080090830376
254,56.17604379357686,52.908054080872965,54.014773928182635,54.38924652591956,47.591488645171204,12467.992325342191,12419.126299231828,12399.91548640204,12202.744719162365,19456.743965817503,265.07960697372323,973.3445985999999,205.4973299873932,193.542711701089,197.59119853476304,198.961055039275,174.09420789126938
256,56.509958600860166,53.54926468891115,54.67747860646091,55.0540616720381,47.32350146223208,12581.012242543911,12526.224828609651,12509.270443614962,12312.852842506441,19551.390968741965,267.1142650305024,978.888536,206.31856584700336,195.50903533327943,199.62815846132136,201.00306794516888,172.77869590224176
